Número processo,Categoria,comarca,vara,juiz,Pena Base,Pena Definitiva,Circunstâncias Judiciais,Circunstâncias Preponderantes,Antecedentes,Pena-Base Minimo?,Agravantes/Atenuantes,Reincidência,Menor de 21 ou Maior de 70,Confissão Espontânea,Comparação Pena Provisória,Tráfico Privilegiado,Conversão da Pena
1527481-24.2021.8.26.0228,Tráfico de Drogas,SÃO PAULO,7ª Vara Criminal,Paulo Eduardo Balbone Costa,1825,2125,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Não,Uma condenação,Não,Não,Diferente da base,Não,Não convertida
1517650-83.2020.8.26.0228,Tráfico de Drogas,SÃO PAULO,3ª Vara Criminal,Dr. Cecilia Pinheiro da Fonseca,500,291,Sim,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Não,Não,N/A,Não,Não convertida
1500526-60.2021.8.26.0549,Tráfico de Drogas,Santa Rosa de Viterbo,Vara Única,Alexandre Cesar Ribeiro,40,48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1501673-55.2021.8.26.0571,Tráfico de Drogas,Tatuí,1ª Vara Criminal,FERNANDO JOSE ALGUZ DA SILVEIRA,1825,1825,Não,Não,Maus antecedentes,Sim no mínimo,Não,Múltiplas condenações,Sim,Sim,Igual à base,Não,Não convertida
1502807-10.2021.8.26.0542,Tráfico de Drogas,Osasco,4ª Vara Criminal,ULISSES AUGUSTO PASCOLATI JUNIOR,500,583,N/A,Grande quantidade ou natureza da droga,Maus antecedentes,Sim no mínimo,Sim,Uma condenação,Não,Não,N/A,Não,Não convertida
1502657-47.2021.8.26.0536,Tráfico de Drogas,Santos,5ª Vara Criminal,WALTER LUIZ ESTEVES DE AZEVEDO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1500732-86.2022.8.26.0566,Tráfico de Drogas,São Carlos,2ª Vara Criminal,DANIEL FELIPE SCHERER BORBOREMA,N/A,2480,Não,Grande quantidade ou natureza da droga,Maus antecedentes,Não no mínimo,Não,Uma condenação,Não,Não,Diferente da base,Não,Não convertida
1500445-27.2021.8.26.0286,Tráfico de Drogas,Itu,1ª Vara Criminal e de Violência Doméstica e Familiar contra a Mulher,Andrea Ribeiro Borges,N/A,52,N/A,N/A,Maus antecedentes,N/A,N/A,Múltiplas condenações,N/A,N/A,N/A,Não,Não convertida
1501221-77.2019.8.26.0583,Tráfico de Drogas,Presidente Bernardes,Vara Única,VINÍCIUS PERETTI GIONGO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1503362-96.2021.8.26.0228,Tráfico de Drogas,SÃO PAULO,22ª Vara Criminal,Érica Aparecida Ribeiro Lopes e Navarro Rodrigues,1825,605,Sim,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Sim,Sim,N/A,Não,Convertida
1503320-92.2019.8.26.0268,Tráfico de Drogas,Itapecerica da Serra,4ª Vara,DJALMA MOREIRA GOMES JUNIOR,N/A,1095,Não,Não,Primário ou sem antecedentes,N/A,Sim,Não,Não,Sim,N/A,Não,Não convertida
0018806-98.2021.8.26.0050,Tráfico de Drogas,SÃO PAULO,21ª Vara Criminal,Renata William Rached Catelli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1502230-65.2021.8.26.0628,Tráfico de Drogas,Itapecerica da Serra,4ª Vara,DJALMA MOREIRA GOMES JUNIOR,375,436,Não,Não,Primário ou sem antecedentes,Não no mínimo,Não,Múltiplas condenações,Não,Não,Diferente da base,Não,Convertida
1501240-76.2022.8.26.0616,Tráfico de Drogas,Mogi das Cruzes,1ª Vara Criminal,Tatiana Saes Valverde Ormeleze,583,166,Sim,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Não,Sim,N/A,Não,Não convertida
1510078-27.2019.8.26.0482,Tráfico de Drogas,Presidente Prudente,3ª Vara Criminal,Dra. Sizara Corral de Arêa Leão Muniz Andrade,N/A,N/A,Sim,Não,Maus antecedentes,Sim no mínimo,Sim,Múltiplas condenações,Sim,Não,N/A,Não,Não convertida
1500095-90.2021.8.26.0560,Tráfico de Drogas,Votuporanga,1ª Vara Criminal,GISLAINE DE BRITO FALEIROS VENDRAMINI,583,500,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Não no mínimo,Sim,Não,Não,Sim,Diferente da base,Não,Não convertida
1500347-20.2021.8.26.0552,Tráfico de Drogas,Leme,Vara Criminal,FELIPE CAVASSO,180,180,Não,Não,Maus antecedentes,Sim no mínimo,Não,Uma condenação,Não,Não,N/A,Não,Convertida
1501408-43.2021.8.26.0445,Tráfico de Drogas,Pindamonhangaba,Vara Criminal,FELIPE ESTEVAO DE MELO GONCALVES,N/A,300,Não,Grande quantidade ou natureza da droga,Maus antecedentes,Não no mínimo,Não,Uma condenação,Não,Não,N/A,Não,N/A
1515039-89.2022.8.26.0228,Tráfico de Drogas,SÃO PAULO,4ª Vara Criminal,ROBERTA HALLAGE GONDIM TEIXEIRA,2125,2125,Não,Grande quantidade ou natureza da droga,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Não,Sim,Igual à base,Não,Não convertida
1500421-84.2022.8.26.0408,Tráfico de Drogas,Ourinhos,2ª Vara Criminal,Renata Ferreira dos Santos Carvalho,500,250,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Não,Uma condenação,Não,Sim,Diferente da base,Sim,Convertida
1501355-10.2022.8.26.0548,Tráfico de Drogas,Cosmópolis,1ª Vara Judicial,Maria Thereza Nogueira Pinto,500,583,Não,Não,Maus antecedentes,Sim no mínimo,Sim,Uma condenação,Não,Sim,Diferente da base,Não,Não convertida
1500202-18.2022.8.26.0555,Tráfico de Drogas,São Carlos,1ª Vara Criminal,EDUARDO CEBRIAN ARAUJO REIS,N/A,N/A,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,N/A,Não,Não,Não,N/A,Não,N/A,N/A
1500578-15.2022.8.26.0616,Tráfico de Drogas,Ferraz de Vasconcelos,2ª Vara,Dr(a). FERNANDO AWENSZTERN PAVLOVSKY,600,700,Não,Grande quantidade ou natureza da droga,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Não,Não,Diferente da base,Não,Não convertida
2086709-77.2018.8.26.0000,Tráfico de Drogas,Batatais,Vara Criminal,Claudia Fonseca Fanucchi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1501550-34.2021.8.26.0320,Tráfico de Drogas,Limeira,1ª Vara Criminal,Ricardo Truite Alves,1825,2125,Sim,Grande quantidade ou natureza da droga,Maus antecedentes,Sim no mínimo,Não,Uma condenação,Não,Sim,N/A,Não,Não convertida
1500194-53.2021.8.26.0142,Tráfico de Drogas,Colina,Vara Única,FABIANO MOTA CARDOSO,425,425,Sim,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Não no mínimo,Não,Não,Não,Não,N/A,Não,Não convertida
1500321-69.2021.8.26.0601,Tráfico de Drogas,Socorro,1ª Vara,FERNANDA YUMI FURUKAWA HATA,2025,3950,Não,Grande quantidade ou natureza da droga,Maus antecedentes,Não no mínimo,Não,Múltiplas condenações,Não,Não,Diferente da base,Não,Não convertida
1502131-68.2020.8.26.0616,Tráfico de Drogas,Itaquaquecetuba,1ª Vara Criminal,ERICA PEREIRA DE SOUSA,1825,605,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Não,Não,N/A,Não,Convertida
1500261-72.2022.8.26.0145,Tráfico de Drogas,Conchas,2ª Vara,ELIZABETH SHALDERS DE OLIVEIRA ROXO,N/A,2790,Sim,Grande quantidade ou natureza da droga,Maus antecedentes,Não no mínimo,Não,Não,Não,Não,N/A,Não,Não convertida
1515039-89.2022.8.26.0228,Tráfico de Drogas,SÃO PAULO,4ª Vara Criminal,ROBERTA HALLAGE GONDIM TEIXEIRA,2125,2480,Não,Grande quantidade ou natureza da droga,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Não,Não,Igual à base,Não,Não convertida
